id,label,field,section,route,inNewForm,inEditForm,saved,loaded,hubDisplay,persistPath,roundTrip
227,"אופן תשלום",third_party_insurance_payment_method,"3. ביטוחים","ביטוח צד ג",true,true,true,true,true,"json:insurances or import_buffer",true
228,"קישור למסמך",third_party_insurance_doc_link,"3. ביטוחים","ביטוח צד ג",true,true,true,true,true,"json:insurances or import_buffer",true
229,"העלאת קובץ פוליסה",third_party_insurance_file_name,"3. ביטוחים","ביטוח צד ג",true,true,true,true,true,"json:insurances or import_buffer",true
230,"הערות",third_party_insurance_notes,"3. ביטוחים","ביטוח צד ג",true,true,true,true,true,"json:insurances or import_buffer",true
231,"אחריות שמשות",coverage_glass,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
232,"רכב חלופי",coverage_replacement,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
233,"כיסוי נהג חדש",coverage_new_driver,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
234,"רישוי וטסטים",coverage_licensing,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
235,"גרירה ושירותי דרך",coverage_roadside,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
236,"אחריות פנסים",coverage_lights,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
237,"אחר",coverage_other,"3. ביטוחים","כיסויים",true,true,true,true,true,"json:insurances or import_buffer",true
238,"קישור למסמך רישיון רכב",license_link,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"direct:license_doc_url",true
239,"העלאת קובץ רישיון רכב",license_file_name,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"json:import_buffer or import_buffer",true
240,"טסט אחרון",last_test,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"direct:last_test_date",true
241,"טסט הבא",next_test,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"direct:test_expiry",true
242,"סטטוס טסט",test_status,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"direct:test_status",true
243,"קישור מסמך טסט",test_doc_link,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"json:import_buffer or import_buffer",true
244,"העלאת קובץ טסט",test_file_name,"3. ביטוחים","רישיון וטסט",true,true,true,true,true,"json:import_buffer or import_buffer",true
245,"תזכיר מנהל",manager_reminder,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:manager_report",true
246,"תאריך תזכיר מנהל",manager_reminder_date,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:next_inspection_date",true
247,"תזכיר הרמה",lifting_reminder,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:lifting_report",true
248,"תאריך תזכיר הרמה",lifting_reminder_date,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:repeat_inspection_date",true
249,"תוקף אביזרים",accessories_validity,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:inspections_certificates",true
250,"תאריך תוקף אביזרים",accessories_validity_date,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:inspections_certificates",true
251,"תוקף ציוד ייעודי",dedicated_equipment_validity,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:special_equipment_expiry",true
252,"תאריך תוקף ציוד ייעודי",dedicated_equipment_validity_date,"3. ביטוחים","תזכורות",true,true,true,true,true,"direct:special_equipment_expiry",true
253,"מסוג / ייעודי",special_type,"4. ציוד",,true,true,true,true,true,"direct:equipment_type",true
254,"כוח סוס",horse_power,"4. ציוד",,true,true,true,true,true,"direct:horsepower",true
255,"נפח מנוע",engine_volume,"4. ציוד",,true,true,true,true,true,"direct:engine_volume",true
256,"משקל / טון",weight_ton,"4. ציוד",,true,true,true,true,true,"direct:weight_tons",true
257,"KVA",kva,"4. ציוד",,true,true,true,true,true,"direct:kva",true
258,"שעות מנוע",maintenance_engine_hours,"4. ציוד",,true,true,true,true,true,"direct:engine_hours",true
259,"מספר סידורי ציוד",equipment_serial,"4. ציוד",,true,true,true,true,true,"direct:equipment_serial",true
260,"ציוד ייעודי",dedicated_equipment,"4. ציוד",,true,true,true,true,true,"direct:equipment_type",true
261,"ציוד ייעודי — פירוט",dedicated_equipment_details,"4. ציוד",,true,true,true,true,true,"direct:equipment_details",true
262,"הערות",equipment_notes,"4. ציוד",,true,true,true,true,true,"direct:equipment_details",true
263,"ק"מ נוכחי",current_km,"5. תחזוקה",,true,true,true,true,true,"direct:odometer",true
264,"שעות מנוע",equipment_engine_hours,"5. תחזוקה",,true,true,true,true,true,"direct:engine_hours",true
265,"סוג מונה",meter_type,"5. תחזוקה",,true,true,true,true,true,"direct:meter_type",true
266,"תאריך עדכון מונה",meter_update_date,"5. תחזוקה",,true,true,true,true,true,"direct:meter_updated_at",true
267,"טיפול אחרון",last_service,"5. תחזוקה",,true,true,true,true,true,"direct:last_service_date",true
268,"טיפול הבא",next_service,"5. תחזוקה",,true,true,true,true,true,"direct:next_service_date",true
269,"טיפול הבא בק"מ",next_service_km,"5. תחזוקה",,true,true,true,true,true,"direct:next_service_km",true
270,"שעות מנוע לטיפול הבא",next_service_engine_hours,"5. תחזוקה",,true,true,true,true,true,"direct:next_service_hours",true
271,"סוג טיפול",service_type,"5. תחזוקה",,true,true,true,true,true,"direct:service_type",true
272,"סטטוס התראות",alert_status,"5. תחזוקה",,true,true,true,true,true,"direct:service_status",true
273,"הערות טיפול",service_notes,"5. תחזוקה",,true,true,true,true,true,"direct:service_notes",true
274,"שיטת תחזוקה",maintenance_method,"5. תחזוקה",,true,true,true,true,true,"direct:maintenance_method",true
275,"ממונה תחזוקה",maint_supervisor,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
276,"מוסך מטפל",maint_garage,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
277,"טלפון מוסך",maint_phone,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
278,"אחריות",maint_warranty,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
279,"פירוט אחריות",maint_warranty_details,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
280,"הערות תחזוקה",maint_notes,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
281,"הערות מוסך",maint_garage_notes,"5. תחזוקה","תחזוקה עצמית",true,true,true,true,true,"json:maintenance_details or import_buffer",true
282,"חברת ליסינג",maint_lease_company,"5. תחזוקה","ליסינג",true,true,true,true,true,"json:maintenance_details or import_buffer",true
283,"מוקד שירות",maint_service_center,"5. תחזוקה","ליסינג",true,true,true,true,true,"json:maintenance_details or import_buffer",true
284,"טלפון",maint_phone,"5. תחזוקה","ליסינג",true,true,true,true,true,"json:maintenance_details or import_buffer",true
285,"איש קשר",maint_lease_contact,"5. תחזוקה","ליסינג",true,true,true,true,true,"json:maintenance_details or import_buffer",true
286,"הערות תחזוקה",maint_lease_notes,"5. תחזוקה","ליסינג",true,true,true,true,true,"json:maintenance_details or import_buffer",true
287,"קטגוריית מסמך",__doc_category_ui__,"6. מסמכים",,true,true,true,true,true,"ui-only",true
288,"שם מסמך",__doc_name_ui__,"6. מסמכים",,true,true,true,true,true,"ui-only",true
289,"הדבקת קישור",__doc_link_ui__,"6. מסמכים",,true,true,true,true,true,"ui-only",true
290,"העלאת קובץ",__doc_file_ui__,"6. מסמכים",,true,true,true,true,true,"ui-only",true
291,"הערות",__doc_notes_ui__,"6. מסמכים",,true,true,true,true,true,"ui-only",true
